1.747657,2.287582,-112.834277,-1.000384,0.999676,X,X,X,X,X,X,X,X
1.746207,2.287517,-111.146686,-1.000368,0.999658,X,X,X,X,X,X,X,X
1.744760,2.287407,-109.460132,-1.000526,0.999999,X,X,X,X,X,X,X,X
1.743323,2.287256,-107.773160,-1.000396,0.999715,X,X,X,X,X,X,X,X
1.741888,2.287060,-106.086209,-1.000337,0.999594,X,X,X,X,X,X,X,X
1.740459,2.286819,-104.398790,-1.000339,0.999595,X,X,X,X,X,X,X,X
1.739038,2.286537,-102.711391,-1.000336,0.999596,X,X,X,X,X,X,X,X
1.737626,2.286213,-101.024066,-1.000344,0.999578,X,X,X,X,X,X,X,X
1.736224,2.285849,-99.336717,-1.000344,0.999581,X,X,X,X,X,X,X,X
1.735069,2.285540,-98.033820,-0.554968,0.590940,X,X,X,X,X,X,X,X
1.734448,2.285536,-97.161510,-0.550296,0.549317,X,X,X,X,X,X,X,X
1.733757,2.285390,-96.263543,-0.550581,0.549939,X,X,X,X,X,X,X,X
1.733000,2.285137,-95.340690,-0.550538,0.549998,X,X,X,X,X,X,X,X
1.732252,2.284875,-94.414507,-0.550500,0.549884,X,X,X,X,X,X,X,X
1.731509,2.284599,-93.487513,-0.550436,0.549795,X,X,X,X,X,X,X,X
1.730771,2.284311,-92.560443,-0.550387,0.549709,X,X,X,X,X,X,X,X
1.730037,2.284011,-91.633275,-0.550351,0.549642,X,X,X,X,X,X,X,X
1.729307,2.283699,-90.705934,-0.550333,0.549598,X,X,X,X,X,X,X,X
1.728582,2.283374,-89.778347,-0.550326,0.549578,X,X,X,X,X,X,X,X
1.727862,2.283035,-88.850567,-0.550329,0.549577,X,X,X,X,X,X,X,X
1.727149,2.282685,-87.922786,-0.550328,0.549579,X,X,X,X,X,X,X,X
1.726441,2.282322,-86.995010,-0.550326,0.549580,X,X,X,X,X,X,X,X
1.725941,2.282030,-86.443823,-0.093500,0.134857,X,X,X,X,X,X,X,X
1.725752,2.280248,-86.278651,0.539095,0.717658,X,X,X,X,X,X,X,X
1.725686,2.276325,-86.184216,0.955663,1.068713,X,X,X,X,X,X,X,X
1.725741,2.270599,-86.117578,1.335531,1.447118,X,X,X,X,X,X,X,X
1.725882,2.262923,-86.007025,1.727344,1.926258,X,X,X,X,X,X,X,X
1.726236,2.252694,-85.809888,2.307435,2.577610,X,X,X,X,X,X,X,X
1.727154,2.238741,-85.653001,3.304776,3.373277,X,X,X,X,X,X,X,X
1.728793,2.220334,-85.812452,4.565968,4.110199,X,X,X,X,X,X,X,X
1.731117,2.198212,-86.506990,5.210311,4.329394,X,X,X,X,X,X,X,X
1.733326,2.175288,-87.312836,5.246091,4.346842,X,X,X,X,X,X,X,X
1.735202,2.152425,-88.107187,5.206430,4.321750,X,X,X,X,X,X,X,X
1.736737,2.129713,-88.900567,5.179538,4.270508,X,X,X,X,X,X,X,X
1.737908,2.107063,-89.697448,5.177906,4.358018,X,X,X,X,X,X,X,X
1.738291,2.083589,-90.156707,5.127657,4.885722,X,X,X,X,X,X,X,X
1.738057,2.058643,-90.179837,5.110236,5.127766,X,X,X,X,X,X,X,X
1.737737,2.033532,-90.093029,5.063408,5.151862,X,X,X,X,X,X,X,X
1.737501,2.008469,-90.004449,5.111205,5.131058,X,X,X,X,X,X,X,X
1.737450,1.983414,-89.990775,5.128003,5.128018,X,X,X,X,X,X,X,X
1.737491,1.958429,-89.997261,5.128343,5.127957,X,X,X,X,X,X,X,X
1.737545,1.933508,-90.008605,5.128311,5.127981,X,X,X,X,X,X,X,X
1.737569,1.908554,-90.015317,5.128108,5.127962,X,X,X,X,X,X,X,X
1.737563,1.883558,-90.016038,5.128134,5.128208,X,X,X,X,X,X,X,X
1.737546,1.858547,-90.013469,5.127982,5.128038,X,X,X,X,X,X,X,X
1.737530,1.833539,-90.011090,5.128004,5.128038,X,X,X,X,X,X,X,X
1.737521,1.808545,-90.010084,5.128085,5.128103,X,X,X,X,X,X,X,X
1.737516,1.783531,-90.010166,5.128108,5.128085,X,X,X,X,X,X,X,X
1.737513,1.758560,-90.010749,5.128043,5.128008,X,X,X,X,X,X,X,X
1.737509,1.733571,-90.011457,5.128022,5.127955,X,X,X,X,X,X,X,X
1.737507,1.708586,-90.011758,5.127947,5.127928,X,X,X,X,X,X,X,X
1.737501,1.683585,-90.011530,5.128009,5.128015,X,X,X,X,X,X,X,X
1.737495,1.658562,-90.011213,5.128038,5.128044,X,X,X,X,X,X,X,X
1.737490,1.633572,-90.010808,5.128037,5.128028,X,X,X,X,X,X,X,X
